task,method,seed,cost,success,strict_success,violation,reach_avoid,steps,training_interactions,online_model_predictions,evaluation_interactions,input_sha,checkpoint_sha,noise_std_action_range_fraction
stochastic_continuous_point_mass,SAC,5,8.289909379204364,1.0,1.0,0.0,1.0,14.95,100000,0,299,2bcdc65cda3e4c43767878730b2fca6f1cee7774482ffa229d8f3a0c0906d04b,afb144b3c9cee0ff8b75b9e3da9fded0fd4490f301fffea6e4414cfbd2e56d32,0.05
stochastic_continuous_double_integrator_parking,SMoSE,5,3.3195194167726263,1.0,1.0,0.0,1.0,9.5,100000,0,190,f39360e338aa81990b6dd8e1c2437a62235d124f1656b395df81288517c0dd89,ce62b1d2e1f7e73170e625f25d908ac295cd056b29270bc8f1da1f947d843ee2,0.05
stochastic_continuous_double_integrator_parking,SAC,5,3.3144384111344545,1.0,1.0,0.0,1.0,9.55,100000,0,191,f39360e338aa81990b6dd8e1c2437a62235d124f1656b395df81288517c0dd89,c4700af7a6b52d0d0211b1c9d58c52e37585181f6d541ccbff558c224affe41d,0.05
stochastic_continuous_braking_car,SMoSE,6,15.89477822587222,0.9,0.9,0.1,0.9,1.05,100000,0,21,92c1bd940d1ef8a0d19d362ab192bab108ab99ce157d931d13f81b1295c5def3,d8711e166f7a86776d2f46ec748e2d22b66b5965e5619e10f8fed434478e0812,0.05
stochastic_continuous_braking_car,SAC,6,14.78426304978702,0.9,0.9,0.1,0.9,1.05,100000,0,21,92c1bd940d1ef8a0d19d362ab192bab108ab99ce157d931d13f81b1295c5def3,e19cfc23bcfd97f94d4f6d9c3133192d34d95d0cb33b267d0f68912a5a729986,0.05
stochastic_pendulum_swing_up,SMoSE,6,48.82401229063743,1.0,1.0,0.0,1.0,48.0,100000,0,960,46638e8e55dc6a342293db8dbf8bbbe3cb9348c94023e3503a4c9c8c3a4c02fb,4f7cce415dc8829b2d3831a6cd04ffad5d623c662acc0f581d31e457875fe6e0,0.05
stochastic_pendulum_swing_up,SAC,6,44.36837070245035,1.0,1.0,0.0,1.0,44.3,100000,0,886,46638e8e55dc6a342293db8dbf8bbbe3cb9348c94023e3503a4c9c8c3a4c02fb,8dfb6bb0b7bfe836a68f9bd957c30214b125cee878d728407c255e0bba34e463,0.05
stochastic_continuous_point_mass,SMoSE,6,54.397976663549215,0.0,0.0,0.0,0.0,120.0,100000,0,2400,cb11860dd2e9f5a56f9514290c7f49f321e5ed81bca2b86400cd672a896bf3f7,ee58d83644b85e5f58965710881f399b4ebff11ff12153831e6f9400bd5c4f64,0.05
stochastic_continuous_point_mass,SAC,6,7.943561108947248,1.0,1.0,0.0,1.0,14.7,100000,0,294,cb11860dd2e9f5a56f9514290c7f49f321e5ed81bca2b86400cd672a896bf3f7,9d1972cc0432de2703e20f36c357c81d1041ec7e2c9238500bf551a9d58bee28,0.05
stochastic_continuous_double_integrator_parking,SMoSE,6,3.3294806900738285,1.0,1.0,0.0,1.0,9.95,100000,0,199,67c916e5b6e7090c1580e857d6901fb475dbb956c4e0e3326646c84edcb9e336,66e5fec320eba4913ceb833da7a800e30d4274011a52daa957fb6ea289b6e9b6,0.05
stochastic_continuous_double_integrator_parking,SAC,6,3.292148533051285,1.0,1.0,0.0,1.0,9.55,100000,0,191,67c916e5b6e7090c1580e857d6901fb475dbb956c4e0e3326646c84edcb9e336,48150c2dcdc62b716f2da8556eb3fee364d7eb3114ad089493070d8b31d2af44,0.05
stochastic_continuous_braking_car,SMoSE,7,15.27747669886553,0.9,0.9,0.1,0.9,1.05,100000,0,21,6484398345d7233e0cbdcc61ece9d1e6ac3d6eb9487cdaecb348a161a4da4002,25fe080115d74fa9cdecec60bea8dc29b43014923fd974f1daaa040aa653ca83,0.05
stochastic_continuous_braking_car,SAC,7,14.095692874718868,0.9,0.9,0.1,0.9,1.05,100000,0,21,6484398345d7233e0cbdcc61ece9d1e6ac3d6eb9487cdaecb348a161a4da4002,d9777aa65d84d878a5de12d7d231a18bd991946d7de75a0193b092462a8e2bc1,0.05
stochastic_pendulum_swing_up,SMoSE,7,37.55332180809711,1.0,1.0,0.0,1.0,45.35,100000,0,907,e985103a481811be9cab7324edac370666b96983910fee94c659a9f5ff1da36d,d97c83442789340da6dba7fa5300f89df96709238d61c858759657766a7e3365,0.05
stochastic_pendulum_swing_up,SAC,7,34.30948719412642,1.0,1.0,0.0,1.0,43.3,100000,0,866,e985103a481811be9cab7324edac370666b96983910fee94c659a9f5ff1da36d,12fb70fa2d81460e6f57ed946e734c7f6f093122a3608d1ab6da4bea6be8cda2,0.05
stochastic_continuous_point_mass,SMoSE,7,9.699707203511554,1.0,1.0,0.0,1.0,16.65,100000,0,333,09ddcdda08ab6d9073ee62375e82dd156982977ce712e1d0a681627261fd61bf,578dd2883598ef0618d40142556d46c67cf238829b70d089bc2ba40d13c4f145,0.05
stochastic_continuous_point_mass,SAC,7,8.435938758242452,1.0,1.0,0.0,1.0,15.25,100000,0,305,09ddcdda08ab6d9073ee62375e82dd156982977ce712e1d0a681627261fd61bf,1021a3d99d5f873f1af42e23add4d6f42d08ed5ade3174db2c0fcd98f14b77f2,0.05
stochastic_continuous_double_integrator_parking,SMoSE,7,3.201762440148473,1.0,1.0,0.0,1.0,10.95,100000,0,219,0c3a42f7951bda4609c65f6ef4734e4858c7cc9047428038aacd377aaddc5163,e802e167c9100fa74d0131f1611e773926caa5674a1b1eec821953b6de7e0dd7,0.05
stochastic_continuous_double_integrator_parking,SAC,7,3.098097877760165,1.0,1.0,0.0,1.0,9.85,100000,0,197,0c3a42f7951bda4609c65f6ef4734e4858c7cc9047428038aacd377aaddc5163,cd2fd337db5b1716885d5b69ae10db85339611fedb25912872130942d698a529,0.05
stochastic_continuous_braking_car,SMoSE,8,13.955406844177912,0.9,0.9,0.1,0.9,1.4,100000,0,28,ede3999d1344a91c491a0e88886cd7a1c87a1e24a7a74d6859e9d74e39b7b07e,5240321a68d052f21c604c2d2cbb0af79a2d3d31ddf938cd9c95d05fd1b03b9d,0.05
