benchmark,method,seed,seconds,preparation_seconds,evaluation_seconds,iterations,mean_cost,success_rate,violation_rate,blocks,core_blocks,truncated_blocks,frontier_transitions,absorption_samples,status,model_calls,partition_seconds,absorption_seconds,frontier_solve_seconds,frontier_mode,frontier_backend,exact_action_projection,exact_projection_available,exact_projection_mean_width,exact_projection_feasible_rate,exact_projection_activation_rate,exact_projection_clipping_rate,action_regime,control_route,execution_device,scale_size,grid_state_count,block_compression_ratio,scalability_family,transition_regime,noise_scale,noise_model,action_sample_count,action_perturbation_count,action_perturbation_rate,mean_abs_action_deviation,mean_intended_action,mean_executed_action,frontier_hit_entropy,transition_expectation,scenario_count,evaluation_protocol,topology_noise_projection,topology_noise_interval_probability,topology_noise_support_points,support_aware_control,planning_horizon,training_seconds,scala_process_seconds,training_episodes,evaluation_episodes,alpha,gamma,epsilon0,epsilon_decay_factor,min_exploration,reward_mode,success_bonus,potential_scale,partition_variant,training_initialization,training_model_calls,evaluation_model_calls,learned_policy_entries,defaulted_blocks,defaulted_block_ids,source_artifact,partition_source,environment_parity,evaluation_owner,recorded_model_calls,preparation_model_calls,online_model_calls,absorption_model_calls,other_preparation_model_calls,call_count_source,control_and_runtime_source
stochastic_braking_car,TileQ,8,0.04073070012964308,0.03894560015760362,0.0017842999659478664,400,21.25,0.85,0.15,,,,,,ok,438,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,20,1,0.05,0.475,-6.8,-6.325,,sampled Q-learning transitions,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,438,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,MPC,8,0.06142060016281903,0.0,0.06140040000900626,0,17.8575,0.85,0.15,,,,,,ok,1702,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,23,1,0.043478260869565216,0.08695652173913043,-3.4565217391304346,-3.369565217391304,,scenario mean,8,isolated execution environment,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,1702,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,SDTA-MDP,9,7.84221119992435,7.641451800009236,0.2007590001448989,2,33.4321,0.7,0.3,6,4,2,29,32,ok,6773,0.17616400006227195,7.464109999826178,0.0006651000585407019,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,49,8,0.16326530612244897,0.9178979591836735,-2.0853877551020403,-1.78169387755102,0.17992865782980808,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,697,697,6076,697,0,complete leaf-dynamics replay,original measured main experiment
stochastic_braking_car,FineGridVI,9,0.11670149979181588,0.11410170001909137,0.0025989001151174307,5,34.2525,0.7,0.3,,,,,,ok,3136,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,21,6,0.2857142857142857,2.137571428571429,-6.666666666666667,-5.005285714285714,,discounted exact finite-action expectation,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,3136,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,TileQ,9,0.04236480011604726,0.04032040014863014,0.0020435999613255262,400,34.875,0.7,0.3,,,,,,ok,460,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,20,6,0.3,2.49445,-7.875,-5.8805499999999995,,sampled Q-learning transitions,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,460,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,MPC,9,0.07832930004224181,0.0,0.07830739999189973,0,33.27655,0.7,0.3,,,,,,ok,2299,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,28,7,0.25,1.6028214285714284,-3.5793214285714283,-3.044357142857143,,scenario mean,8,isolated execution environment,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,2299,,,,,recorded planning or training calls,original measured main experiment
stochastic_point_mass,SDTA-MDP,0,24.05855860002339,6.602397499838844,17.45616069994867,2,14.731293997284633,1.0,0.05,5,5,0,35,32,ok,345360,0.0926677999086678,6.5085167998913676,0.0006172999273985624,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,435,40,0.09195402298850575,0.15172413793103448,2.0068965517241377,2.0068965517241377,0.6510279074936138,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,15385,15385,329975,15385,0,complete leaf-dynamics replay,original measured main experiment
stochastic_point_mass,FineGridVI,0,0.17066359985619783,0.10727179981768131,0.06339060002937913,31,14.480105467819111,1.0,0.0,,,,,,ok,1600,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,675,75,0.1111111111111111,0.20296296296296296,1.471111111111111,1.5644444444444445,,discounted exact finite-action expectation,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,recorded planning or training calls,original measured main experiment
stochastic_point_mass,TileQ,0,1.8113841000013053,1.7110997999552637,0.10028350003995001,400,22.697677566768455,0.75,0.0,,,,,,ok,19529,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,1379,157,0.11385061638868746,0.1994198694706309,2.6598984771573604,2.5576504713560553,,sampled Q-learning transitions,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,19529,,,,,recorded planning or training calls,original measured main experiment
stochastic_point_mass,MPC,0,5.5472172000445426,0.0,5.547196200117469,0,13.095629012687079,1.0,0.0,,,,,,ok,103523,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,438,40,0.091324200913242,0.1598173515981735,2.047945205479452,2.002283105022831,,scenario mean,8,isolated execution environment,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,103523,,,,,recorded planning or training calls,original measured main experiment
